year,zone,data_available,n_stations,mean_O2,median_O2,std_O2,min_O2,max_O2,n_hypoxic,percent_hypoxic,n_severe_hypoxic,percent_severe_hypoxic,estimated_hypoxic_area_km2,mean_depth,median_depth,lon_min,lon_max,lat_min,lat_max,lon_range,lat_range
2019,Zone2,True,22,4.248295454545454,4.267950000000001,0.7774293858469431,2.7648,5.5994,0.0,0.0,0.0,0.0,0.0,62.095454545454544,62.599999999999994,-92.83316667,-90.3635,28.08266667,28.75316667,2.469666669999995,0.6705000000000005
2019,Zone3,True,41,4.530914634146341,5.0499,1.3303071454669737,0.2009,5.7535,3.0,7.317073170731707,1.0,2.4390243902439024,127.93061172959219,34.868292682926835,33.6,-88.73816667,-83.0965,27.925,29.95116667,5.641666669999992,2.0261666699999985
2021,Zone1,True,84,5.240785714285714,5.72575,1.6822022122580835,1.3787,8.0678,7.0,8.333333333333332,0.0,0.0,2611.8393687137714,37.82976190476191,30.1,-97.3355,-93.06816667,26.0375,29.5795,4.26733333,3.541999999999998
2021,Zone2,True,26,6.540365384615384,6.8242,1.3604200016001846,2.7746,8.996,0.0,0.0,0.0,0.0,0.0,51.256,45.9,-92.95083333,-90.20316667,28.0435,29.569,2.747666659999993,1.5254999999999974
2021,Zone3,True,1,7.5358,7.5358,,7.5358,7.5358,0.0,0.0,0.0,0.0,0.0,38.4,38.4,-88.34483333,-88.34483333,29.65533333,29.65533333,0.0,0.0
2023,Zone1,False,0,,,,,,,,,,,,,,,,,,
2023,Zone2,True,33,4.451681818181818,4.4384,0.7988095046123893,2.4301,5.8864,0.0,0.0,0.0,0.0,0.0,52.16060606060606,54.0,-92.987,-89.055833,28.058833,29.0195,3.931166999999988,0.9606670000000008
2023,Zone3,True,38,5.665878947368422,5.882300000000001,0.9076620841504107,3.4828,7.0023,0.0,0.0,0.0,0.0,0.0,39.32105263157895,35.2,-88.8545,-85.684333,29.212333,30.328667,3.1701670000000064,1.1163339999999984
2024,Zone1,True,103,4.927484466019418,5.2286,1.137132268571655,0.3784,6.8083,3.0,2.912621359223301,2.0,1.9417475728155338,2235.5620866309628,39.499126213592234,29.9,-97.252667,-93.066833,25.9875,29.623,4.185834,3.6355000000000004
2024,Zone2,True,18,5.1646777777777775,5.120150000000001,0.7454334653353242,4.0673,6.5312,0.0,0.0,0.0,0.0,0.0,70.13944444444445,72.80000000000001,-92.986833,-89.429167,28.010333,29.36,3.5576659999999976,1.3496670000000002
2024,Zone3,True,31,5.493922580645161,5.1803,1.1328298559241448,3.9103,7.2384,0.0,0.0,0.0,0.0,0.0,53.68483870967743,53.6,-88.937667,-83.460833,26.672,30.091333,5.476834000000011,3.419332999999998
